Site,StationCode,DateSampled,ActivityType,ComponentShort,ComponentLong,Result,Remark,Units,MDL,PQL,MRL,Dilution,DateReceived,DateAnalyzed,TestComments,AnalysisMethod,Lab ID,Lab Accreditation Authority,Laboratory,RQ#,EnteredBy,EnteredOn,CheckedBy,CheckedOn
FORT MATANZAS,gtmfmnut1.1,3/5/2019 9:10,SAMPLE,W-NO2NO3-F,NO2NO3-N,0.007,I,mg N/L,0.004,0.01,,,3/6/2019 10:25,3/14/2019 11:08,,EPA 353.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
FORT MATANZAS,gtmfmnut1.1,3/5/2019 9:10,SAMPLE,W-S-A-TP,Total-P,0.026,NA,mg P/L,0.004,0.01,,,3/6/2019 10:25,3/14/2019 15:52,,EPA 365.1 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
FORT MATANZAS,gtmfmnut1.1,3/5/2019 9:10,SAMPLE,W-DOC,Organic Carbon,2.8,NA,mg C/L,1,2,,,3/6/2019 10:25,3/16/2019 10:56,,SM 5310 B-00,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
FORT MATANZAS,gtmfmnut1.1,3/5/2019 9:10,SAMPLE,CHLSUITE-W,"Chlorophyll-a, Corrected",2,I,ug/L,0.76,2.3,,,3/6/2019 10:25,3/18/2019 16:20,,SM 10200 H (mod.),E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
FORT MATANZAS,gtmfmnut1.1,3/5/2019 9:10,SAMPLE,CHLSUITE-W,"Chlorophyll-a, Uncorrected",2.3,NA,ug/L,0.55,1.6,,,3/6/2019 10:25,3/18/2019 16:20,,SM 10200 H (mod.),E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
FORT MATANZAS,gtmfmnut1.1,3/5/2019 9:10,SAMPLE,CHLSUITE-W,Phaeophytin-a,0.82,U,ug/L,0.82,2.5,,,3/6/2019 10:25,3/18/2019 16:20,,SM 10200 H (mod.),E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
FORT MATANZAS,gtmfmnut1.2,3/5/2019 9:12,SAMPLE,W-NO2-F,Nitrite-N,0.002,U,mg N/L,0.002,0.005,,,3/6/2019 10:25,3/6/2019 14:49,,EPA 353.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
FORT MATANZAS,gtmfmnut1.2,3/5/2019 9:12,SAMPLE,W-NO3-F,Nitrate-N,0.005,I,mg N/L,0.004,0.01,,,3/6/2019 10:25,3/6/2019 14:49,,EPA 353.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
FORT MATANZAS,gtmfmnut1.2,3/5/2019 9:12,SAMPLE,W-PO4-F,O-Phosphate-P,0.005,I,mg P/L,0.004,0.01,,,3/6/2019 10:25,3/6/2019 19:17,O-Phosphate-P:  The result was confirmed on 03/06/2019.,EPA 365.1 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
FORT MATANZAS,gtmfmnut1.2,3/5/2019 9:12,SAMPLE,FCOLI-MF,Fecal Coliforms-Membrane Filter,2,UJQ,cfu/100 mL,2,2,,,3/6/2019 10:25,3/7/2019 14:20,See Non-Conformance Report # 7565.,SM 9222 D,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
FORT MATANZAS,gtmfmnut1.2,3/5/2019 9:12,SAMPLE,W-TSS,TSS,6,I,mg/L,3,10,,,3/6/2019 10:25,3/8/2019 17:48,,SM 2540 D-97,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
FORT MATANZAS,gtmfmnut1.2,3/5/2019 9:12,SAMPLE,W-NH3-F,Ammonia-N,0.014,NA,mg N/L,0.002,0.005,,,3/6/2019 10:25,3/11/2019 12:35,,EPA 350.1 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
FORT MATANZAS,gtmfmnut1.2,3/5/2019 9:12,SAMPLE,W-TKN-F,"Kjeldahl Nitrogen, filtered",0.19,I,mg N/L,0.16,0.4,,,3/6/2019 10:25,3/13/2019 12:18,,EPA 351.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
FORT MATANZAS,gtmfmnut1.2,3/5/2019 9:12,SAMPLE,W-TKN,Kjeldahl Nitrogen,0.23,I,mg N/L,0.16,0.4,,,3/6/2019 10:25,3/13/2019 15:45,,EPA 351.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
FORT MATANZAS,gtmfmnut1.2,3/5/2019 9:12,SAMPLE,W-NO2NO3-F,NO2NO3-N,0.005,I,mg N/L,0.004,0.01,,,3/6/2019 10:25,3/14/2019 11:09,,EPA 353.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
FORT MATANZAS,gtmfmnut1.2,3/5/2019 9:12,SAMPLE,W-S-A-TP,Total-P,0.024,NA,mg P/L,0.004,0.01,,,3/6/2019 10:25,3/14/2019 15:53,,EPA 365.1 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
FORT MATANZAS,gtmfmnut1.2,3/5/2019 9:12,SAMPLE,W-DOC,Organic Carbon,2.6,NA,mg C/L,1,2,,,3/6/2019 10:25,3/16/2019 11:09,,SM 5310 B-00,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
FORT MATANZAS,gtmfmnut1.2,3/5/2019 9:12,SAMPLE,CHLSUITE-W,"Chlorophyll-a, Corrected",2,I,ug/L,0.69,2.1,,,3/6/2019 10:25,3/18/2019 16:20,,SM 10200 H (mod.),E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
FORT MATANZAS,gtmfmnut1.2,3/5/2019 9:12,SAMPLE,CHLSUITE-W,"Chlorophyll-a, Uncorrected",2.3,NA,ug/L,0.5,1.5,,,3/6/2019 10:25,3/18/2019 16:20,,SM 10200 H (mod.),E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
FORT MATANZAS,gtmfmnut1.2,3/5/2019 9:12,SAMPLE,CHLSUITE-W,Phaeophytin-a,0.75,U,ug/L,0.75,2.2,,,3/6/2019 10:25,3/18/2019 16:20,,SM 10200 H (mod.),E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.1,3/5/2019 11:42,SAMPLE,W-NO2-F,Nitrite-N,0.003,I,mg N/L,0.002,0.005,,,3/6/2019 10:25,3/6/2019 14:51,,EPA 353.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.1,3/5/2019 11:42,SAMPLE,W-NO3-F,Nitrate-N,0.008,I,mg N/L,0.004,0.01,,,3/6/2019 10:25,3/6/2019 14:51,,EPA 353.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.1,3/5/2019 11:42,SAMPLE,W-PO4-F,O-Phosphate-P,0.025,NA,mg P/L,0.004,0.01,,,3/6/2019 10:25,3/6/2019 19:18,,EPA 365.1 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.1,3/5/2019 11:42,SAMPLE,FCOLI-MF,Fecal Coliforms-Membrane Filter,31,BJQ,cfu/100 mL,2,2,,,3/6/2019 10:25,3/7/2019 14:20,See Non-Conformance Report # 7565.,SM 9222 D,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.1,3/5/2019 11:42,SAMPLE,W-TSS,TSS,10,NA,mg/L,3,10,,,3/6/2019 10:25,3/8/2019 17:48,,SM 2540 D-97,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.1,3/5/2019 11:42,SAMPLE,W-NH3-F,Ammonia-N,0.02,NA,mg N/L,0.002,0.005,,,3/6/2019 10:25,3/11/2019 12:42,,EPA 350.1 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.1,3/5/2019 11:42,SAMPLE,W-TKN-F,"Kjeldahl Nitrogen, filtered",0.36,I,mg N/L,0.16,0.4,,,3/6/2019 10:25,3/13/2019 12:23,,EPA 351.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.1,3/5/2019 11:42,SAMPLE,W-TKN,Kjeldahl Nitrogen,0.44,NA,mg N/L,0.16,0.4,,,3/6/2019 10:25,3/13/2019 15:47,,EPA 351.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
PELLICER CREEK,gtmpcnut1.1,3/5/2019 11:42,SAMPLE,W-NO2NO3-F,NO2NO3-N,0.011,NA,mg N/L,0.004,0.01,,,3/6/2019 10:25,3/14/2019 11:10,,EPA 353.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.1,3/5/2019 11:42,SAMPLE,W-S-A-TP,Total-P,0.058,NA,mg P/L,0.004,0.01,,,3/6/2019 10:25,3/14/2019 16:08,,EPA 365.1 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.1,3/5/2019 11:42,SAMPLE,W-DOC,Organic Carbon,9.7,NA,mg C/L,1,2,,,3/6/2019 10:25,3/16/2019 11:22,,SM 5310 B-00,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.1,3/5/2019 11:42,SAMPLE,CHLSUITE-W,"Chlorophyll-a, Corrected",6.1,NA,ug/L,1.6,5.1,,,3/6/2019 10:25,3/20/2019 9:00,Precision data is not available for at least one component due to the small amount of analyte in the QC sample. Refer to QA report for available precision data.,SM 10200 H (mod.),E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.1,3/5/2019 11:42,SAMPLE,CHLSUITE-W,"Chlorophyll-a, Uncorrected",7,NA,ug/L,1.2,3.6,,,3/6/2019 10:25,3/20/2019 9:00,Precision data is not available for at least one component due to the small amount of analyte in the QC sample. Refer to QA report for available precision data.,SM 10200 H (mod.),E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.1,3/5/2019 11:42,SAMPLE,CHLSUITE-W,Phaeophytin-a,1.8,U,ug/L,1.8,5.4,,,3/6/2019 10:25,3/20/2019 9:00,Precision data is not available for at least one component due to the small amount of analyte in the QC sample. Refer to QA report for available precision data.,SM 10200 H (mod.),E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.2,3/5/2019 11:44,SAMPLE,W-NO2-F,Nitrite-N,0.003,I,mg N/L,0.002,0.005,,,3/6/2019 10:25,3/6/2019 14:53,,EPA 353.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.2,3/5/2019 11:44,SAMPLE,W-NO3-F,Nitrate-N,0.01,NA,mg N/L,0.004,0.01,,,3/6/2019 10:25,3/6/2019 14:53,,EPA 353.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.2,3/5/2019 11:44,SAMPLE,W-PO4-F,O-Phosphate-P,0.026,NA,mg P/L,0.004,0.01,,,3/6/2019 10:25,3/6/2019 19:19,,EPA 365.1 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.2,3/5/2019 11:44,SAMPLE,ECOLI-18QT,Escherichia Coli-Quanti-Tray,86,Q,MPN/100 mL,10,10,,,3/6/2019 10:25,3/7/2019 10:25,,SM 9223 Quanti-Tray,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.2,3/5/2019 11:44,SAMPLE,FCOLI-MF,Fecal Coliforms-Membrane Filter,33,BJQ,cfu/100 mL,2,2,,,3/6/2019 10:25,3/7/2019 14:20,See Non-Conformance Report # 7565.,SM 9222 D,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.2,3/5/2019 11:44,SAMPLE,W-E8321-DI,AMPA,0.1,UJ,ug/L,0.1,0.4,,,3/6/2019 10:25,3/7/2019 20:06,Refer to the narrative for an explanation of QC Codes. Surrogate spike recovery exceeding the control limits. Results confirmed in re-extraction.,EPA 8321B,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.2,3/5/2019 11:44,SAMPLE,W-E8321-DI,Glufosinate,0.1,UJ,ug/L,0.1,0.4,,,3/6/2019 10:25,3/7/2019 20:06,Refer to the narrative for an explanation of QC Codes. Surrogate spike recovery exceeding the control limits. Results confirmed in re-extraction.,EPA 8321B,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.2,3/5/2019 11:44,SAMPLE,W-E8321-DI,Glyphosate,0.1,UJ,ug/L,0.1,0.4,,,3/6/2019 10:25,3/7/2019 20:06,Refer to the narrative for an explanation of QC Codes. Surrogate spike recovery exceeding the control limits. Results confirmed in re-extraction.,EPA 8321B,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.2,3/5/2019 11:44,SAMPLE,W-E8321-DI,Acesulfame K,0.1,UJ,ug/L,0.1,0.4,,,3/6/2019 10:25,3/8/2019 17:32,Refer to the narrative for an explanation of QC Codes. Surrogate spike recovery exceeding the control limits. Results confirmed in re-extraction.,EPA 8321B,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.2,3/5/2019 11:44,SAMPLE,W-E8321-DI,Endothall,0.25,UJ,ug/L,0.25,1,,,3/6/2019 10:25,3/8/2019 17:32,Refer to the narrative for an explanation of QC Codes. Surrogate spike recovery exceeding the control limits. Results confirmed in re-extraction.,EPA 8321B,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.2,3/5/2019 11:44,SAMPLE,W-TSS,TSS,11,NA,mg/L,3,10,,,3/6/2019 10:25,3/8/2019 17:48,,SM 2540 D-97,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.2,3/5/2019 11:44,SAMPLE,W-E8321-MS,"2,4-D",0.0033,I,ug/L,0.002,0.008,,,3/6/2019 10:25,3/9/2019 8:06,,EPA 8321B,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.2,3/5/2019 11:44,SAMPLE,W-E8321-MS,Acetaminophen,0.008,U,ug/L,0.008,0.032,,,3/6/2019 10:25,3/9/2019 8:06,,EPA 8321B,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.2,3/5/2019 11:44,SAMPLE,W-E8321-MS,Bentazon,0.0046,NA,ug/L,8.00E-04,0.0032,,,3/6/2019 10:25,3/9/2019 8:06,,EPA 8321B,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.2,3/5/2019 11:44,SAMPLE,W-E8321-MS,Carbamazepine,8.00E-04,U,ug/L,8.00E-04,0.0032,,,3/6/2019 10:25,3/9/2019 8:06,,EPA 8321B,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.2,3/5/2019 11:44,SAMPLE,W-E8321-MS,Diuron,0.002,U,ug/L,0.002,0.008,,,3/6/2019 10:25,3/9/2019 8:06,,EPA 8321B,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.2,3/5/2019 11:44,SAMPLE,W-E8321-MS,Fenuron,0.016,U,ug/L,0.016,0.064,,,3/6/2019 10:25,3/9/2019 8:06,,EPA 8321B,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.2,3/5/2019 11:44,SAMPLE,W-E8321-MS,Fluridone,8.00E-04,U,ug/L,8.00E-04,0.0032,,,3/6/2019 10:25,3/9/2019 8:06,,EPA 8321B,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.2,3/5/2019 11:44,SAMPLE,W-E8321-MS,Hydrocodone,0.002,U,ug/L,0.002,0.008,,,3/6/2019 10:25,3/9/2019 8:06,,EPA 8321B,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.2,3/5/2019 11:44,SAMPLE,W-E8321-MS,Ibuprofen,0.02,U,ug/L,0.02,0.08,,,3/6/2019 10:25,3/9/2019 8:06,,EPA 8321B,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.2,3/5/2019 11:44,SAMPLE,W-E8321-MS,Imazapyr,0.051,NA,ug/L,0.004,0.016,,,3/6/2019 10:25,3/9/2019 8:06,,EPA 8321B,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.2,3/5/2019 11:44,SAMPLE,W-E8321-MS,Imidacloprid,0.002,U,ug/L,0.002,0.008,,,3/6/2019 10:25,3/9/2019 8:06,,EPA 8321B,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.2,3/5/2019 11:44,SAMPLE,W-E8321-MS,Linuron,0.004,U,ug/L,0.004,0.016,,,3/6/2019 10:25,3/9/2019 8:06,,EPA 8321B,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.2,3/5/2019 11:44,SAMPLE,W-E8321-MS,MCPP,0.002,U,ug/L,0.002,0.008,,,3/6/2019 10:25,3/9/2019 8:06,,EPA 8321B,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.2,3/5/2019 11:44,SAMPLE,W-E8321-MS,Naproxen,0.008,U,ug/L,0.008,0.032,,,3/6/2019 10:25,3/9/2019 8:06,,EPA 8321B,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.2,3/5/2019 11:44,SAMPLE,W-E8321-MS,Primidone,0.004,U,ug/L,0.004,0.016,,,3/6/2019 10:25,3/9/2019 8:06,,EPA 8321B,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.2,3/5/2019 11:44,SAMPLE,W-E8321-MS,Pyraclostrobin,0.002,U,ug/L,0.002,0.008,,,3/6/2019 10:25,3/9/2019 8:06,,EPA 8321B,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.2,3/5/2019 11:44,SAMPLE,W-E8321-MS,Triclopyr,0.004,U,ug/L,0.004,0.016,,,3/6/2019 10:25,3/9/2019 8:06,,EPA 8321B,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.2,3/5/2019 11:44,SAMPLE,W-NH3-F,Ammonia-N,0.022,NA,mg N/L,0.002,0.005,,,3/6/2019 10:25,3/11/2019 12:44,,EPA 350.1 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.2,3/5/2019 11:44,SAMPLE,CHL-MDFL-W,"Chlorophyll-a, Modified Fluorometric",5.8,NA,ug/L,0.24,0.72,,,3/6/2019 10:25,3/11/2019 16:10,,EPA 445.0 (mod),E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.2,3/5/2019 11:44,SAMPLE,W-E8321-21,Sucralose,0.1,NA,ug/L,0.01,0.04,,,3/6/2019 10:25,3/11/2019 18:20,,EPA 8321B,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.2,3/5/2019 11:44,SAMPLE,W-TKN-F,"Kjeldahl Nitrogen, filtered",0.35,I,mg N/L,0.16,0.4,,,3/6/2019 10:25,3/13/2019 12:24,,EPA 351.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.2,3/5/2019 11:44,SAMPLE,W-TKN,Kjeldahl Nitrogen,0.44,NA,mg N/L,0.16,0.4,,,3/6/2019 10:25,3/13/2019 15:48,,EPA 351.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
PELLICER CREEK,gtmpcnut1.2,3/5/2019 11:44,SAMPLE,W-NO2NO3-F,NO2NO3-N,0.013,NA,mg N/L,0.004,0.01,,,3/6/2019 10:25,3/14/2019 11:11,,EPA 353.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.2,3/5/2019 11:44,SAMPLE,W-S-A-TP,Total-P,0.06,NA,mg P/L,0.004,0.01,,,3/6/2019 10:25,3/14/2019 16:09,,EPA 365.1 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.2,3/5/2019 11:44,SAMPLE,W-DOC,Organic Carbon,9.7,NA,mg C/L,1,2,,,3/6/2019 10:25,3/16/2019 11:35,,SM 5310 B-00,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.2,3/5/2019 11:44,SAMPLE,CHLSUITE-W,"Chlorophyll-a, Corrected",5.9,I,ug/L,1.9,6,,,3/6/2019 10:25,3/20/2019 9:00,Precision data is not available for at least one component due to the small amount of analyte in the QC sample. Refer to QA report for available precision data.,SM 10200 H (mod.),E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.2,3/5/2019 11:44,SAMPLE,CHLSUITE-W,"Chlorophyll-a, Uncorrected",6.7,NA,ug/L,1.4,4.2,,,3/6/2019 10:25,3/20/2019 9:00,Precision data is not available for at least one component due to the small amount of analyte in the QC sample. Refer to QA report for available precision data.,SM 10200 H (mod.),E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut1.2,3/5/2019 11:44,SAMPLE,CHLSUITE-W,Phaeophytin-a,2.1,U,ug/L,2.1,6.3,,,3/6/2019 10:25,3/20/2019 9:00,Precision data is not available for at least one component due to the small amount of analyte in the QC sample. Refer to QA report for available precision data.,SM 10200 H (mod.),E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut2.1,3/4/2019 9:30,SAMPLE,W-NO2-F,Nitrite-N,0.004,IQ,mg N/L,0.002,0.005,,,3/6/2019 10:25,3/6/2019 14:54,Nitrite-N: The sample expired prior to receipt.,EPA 353.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut2.1,3/4/2019 9:30,SAMPLE,W-NO3-F,Nitrate-N,0.013,Q,mg N/L,0.004,0.01,,,3/6/2019 10:25,3/6/2019 14:54,Nitrate-N: The sample expired prior to receipt.,EPA 353.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut2.1,3/4/2019 9:30,SAMPLE,W-PO4-F,O-Phosphate-P,0.029,Q,mg P/L,0.004,0.01,,,3/6/2019 10:25,3/6/2019 19:20,O-Phosphate-P: The sample expired prior to receipt.,EPA 365.1 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut2.1,3/4/2019 9:30,SAMPLE,W-TSS,TSS,14,AJ,mg/L,3,10,,,3/6/2019 10:25,3/8/2019 17:48,Refer to the narrative for an explanation of QC Codes.,SM 2540 D-97,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut2.1,3/4/2019 9:30,SAMPLE,W-NH3-F,Ammonia-N,0.03,NA,mg N/L,0.002,0.005,,,3/6/2019 10:25,3/11/2019 12:51,,EPA 350.1 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut2.1,3/4/2019 9:30,SAMPLE,W-TKN-F,"Kjeldahl Nitrogen, filtered",0.42,NA,mg N/L,0.16,0.4,,,3/6/2019 10:25,3/13/2019 15:50,,EPA 351.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
Pellicer Creek,gtmpcnut2.1,3/4/2019 9:30,SAMPLE,W-TKN,Kjeldahl Nitrogen,0.43,NA,mg N/L,0.16,0.4,,,3/6/2019 10:25,3/13/2019 15:57,,EPA 351.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-02-25-02,Shannon Dunnigan,4/26/2019,,
